time_h,renewable_power_kw,baseline_electrolyzer_power_kw,optimized_electrolyzer_power_kw,hydrogen_demand_kg_h
9.4,65.14099840158364,65.14099840158364,65.14099840158364,0.875
9.416666666666666,65.5317061525161,65.5317061525161,65.5317061525161,0.875
9.433333333333334,65.92124928401142,65.92124928401142,65.92124928401142,0.875
9.45,66.30960381117646,66.30960381117646,66.30960381117646,0.875
9.466666666666667,66.69674583990087,66.69674583990087,66.69674583990087,0.875
9.483333333333333,67.08265156794145,67.08265156794145,67.08265156794145,0.875
9.5,67.4672972860066,67.4672972860066,67.4672972860066,0.875
9.516666666666666,67.85065937883827,67.85065937883827,67.85065937883827,0.875
9.533333333333333,68.23271432629355,68.23271432629355,68.23271432629355,0.875
9.55,68.61343870442361,68.61343870442361,68.61343870442361,0.875
9.566666666666666,68.99280918655187,68.99280918655187,68.99280918655187,0.875
9.583333333333334,69.37080254434981,69.37080254434981,69.37080254434981,0.875
9.6,69.74739564891078,69.74739564891078,69.74739564891078,0.875
9.616666666666667,70.12256547182204,70.12256547182204,70.12256547182204,0.875
9.633333333333333,70.49628908623431,70.49628908623431,70.49628908623431,0.875
9.65,70.8685436679291,70.8685436679291,70.8685436679291,0.875
9.666666666666666,71.23930649638348,71.23930649638348,71.23930649638348,0.875
9.683333333333334,71.6085549558325,71.6085549558325,71.6085549558325,0.875
9.7,71.97626653632852,71.97626653632852,71.97626653632852,0.875
9.716666666666667,72.34241883479827,72.34241883479827,72.34241883479827,0.875
9.733333333333333,72.70698955609642,72.70698955609642,72.70698955609642,0.875
9.75,73.06995651405651,73.06995651405651,73.06995651405651,0.875
9.766666666666666,73.43129763253862,73.43129763253862,73.43129763253862,0.875
9.783333333333333,73.79099094647373,73.79099094647373,73.79099094647373,0.875
9.8,74.14901460290476,74.14901460290476,74.14901460290476,0.875
9.816666666666666,74.50534686202415,74.50534686202415,74.50534686202415,0.875
9.833333333333334,74.8599660982079,74.8599660982079,74.8599660982079,0.875
9.85,75.21285080104573,75.21285080104573,75.21285080104573,0.875
9.866666666666667,75.56397957636793,75.56397957636793,75.56397957636793,0.875
9.883333333333333,75.9133311472676,75.9133311472676,75.9133311472676,0.875
9.9,76.26088435511973,76.26088435511973,76.26088435511973,0.875
9.916666666666666,76.6066181605955,76.6066181605955,76.6066181605955,0.875
9.933333333333334,76.95051164467283,76.95051164467283,76.95051164467283,0.875
9.95,77.29254400964253,77.29254400964253,77.29254400964253,0.875
9.966666666666667,77.63269458011005,77.63269458011005,77.63269458011005,0.875
9.983333333333333,77.97094280399273,77.97094280399273,77.97094280399273,0.875
10.0,78.3072682535127,78.3072682535127,78.3072682535127,0.875
10.016666666666666,78.64165062618481,78.64165062618481,78.64165062618481,0.875
10.033333333333333,78.97406974580021,78.97406974580021,78.97406974580021,0.875
10.05,79.30450556340469,79.30450556340469,79.30450556340469,0.875
10.066666666666666,79.63293815827238,79.63293815827238,79.63293815827238,0.875
10.083333333333334,79.95934773887453,79.95934773887453,79.95934773887453,0.875
10.1,80.28371464384267,80.28371464384267,80.28371464384267,0.875
10.116666666666667,80.60601934292754,80.60601934292754,80.60601934292754,0.875
10.133333333333333,80.92624243795147,80.92624243795147,80.92624243795147,0.875
10.15,81.24436466375693,81.24436466375693,81.24436466375693,0.875
10.166666666666666,81.56036688914811,81.56036688914811,81.56036688914811,0.875
10.183333333333334,81.87423011782836,81.87423011782836,81.87423011782836,0.875
10.2,82.18593548933099,82.18593548933099,82.18593548933099,0.875
10.216666666666667,82.49546427994517,82.49546427994517,82.49546427994517,0.875
10.233333333333333,82.80279790363545,82.80279790363545,82.80279790363545,0.875
10.25,83.10791791295617,83.10791791295617,83.10791791295617,0.875
10.266666666666666,83.4108059999591,83.4108059999591,83.4108059999591,0.875
10.283333333333333,83.71144399709594,83.71144399709594,83.71144399709594,0.875
10.3,84.00981387811427,84.00981387811427,84.00981387811427,0.875
10.316666666666666,84.30589775894747,84.30589775894747,84.30589775894747,0.875
10.333333333333334,84.59967789859856,84.59967789859856,84.59967789859856,0.875
10.35,84.89113670001768,84.89113670001768,84.89113670001768,0.875
10.366666666666667,85.18025671097323,85.18025671097323,85.18025671097323,0.875
10.383333333333333,85.46702062491659,85.46702062491659,85.46702062491659,0.875
10.4,85.75141128184045,85.75141128184045,85.75141128184045,0.875
10.416666666666666,86.0334116691305,86.0334116691305,86.0334116691305,0.875
10.433333333333334,86.31300492241049,86.31300492241049,86.31300492241049,0.875
10.45,86.59017432638065,86.59017432638065,86.59017432638065,0.875
10.466666666666667,86.86490331564949,86.86490331564949,86.86490331564949,0.875
10.483333333333333,87.13717547555832,87.13717547555832,87.13717547555832,0.875
10.5,87.4069745429997,87.4069745429997,87.4069745429997,0.875
10.516666666666666,87.67428440722792,87.67428440722792,87.67428440722792,0.875
10.533333333333333,87.93908911066346,87.93908911066346,87.93908911066346,0.875
10.55,88.20137284968965,88.20137284968965,88.20137284968965,0.875
10.566666666666666,88.46111997544259,88.46111997544259,88.46111997544259,0.875
10.583333333333334,88.71831499459375,88.71831499459375,88.71831499459375,0.875
10.6,88.97294257012533,88.97294257012533,88.97294257012533,0.875
10.616666666666667,89.22498752209827,89.22498752209827,89.22498752209827,0.875
10.633333333333333,89.47443482841301,89.47443482841301,89.47443482841301,0.875
10.65,89.72126962556266,89.72126962556266,89.72126962556266,0.875
10.666666666666666,89.96547720937875,89.96547720937875,89.96547720937875,0.875
10.683333333333334,90.20704303576954,90.20704303576954,90.20704303576954,0.875
10.7,90.44595272145052,90.44595272145052,90.44595272145052,0.875
10.716666666666667,90.68219204466754,90.68219204466754,90.68219204466754,0.875
10.733333333333333,90.91574694591185,90.91574694591185,90.91574694591185,0.875
10.75,91.1466035286278,91.1466035286278,91.1466035286278,0.875
10.766666666666666,91.37474805991242,91.37474805991242,91.37474805991242,0.875
10.783333333333333,91.6001669712073,91.6001669712073,91.6001669712073,0.875
10.8,91.82284685898246,91.82284685898246,91.82284685898246,0.875
10.816666666666666,92.04277448541224,92.04277448541224,92.04277448541224,0.875
10.833333333333334,92.25993677904339,92.25993677904339,92.25993677904339,0.875
10.85,92.47432083545473,92.47432083545473,92.47432083545473,0.875
10.866666666666667,92.68591391790915,92.68591391790915,92.68591391790915,0.875
10.883333333333333,92.8947034579968,92.8947034579968,92.8947034579968,0.875
10.9,93.10067705627098,93.10067705627098,93.10067705627098,0.875
10.916666666666666,93.30382248287476,93.30382248287476,93.30382248287476,0.875
10.933333333333334,93.50412767816026,93.50412767816026,93.50412767816026,0.875
10.95,93.70158075329871,93.70158075329871,93.70158075329871,0.875
10.966666666666667,93.89616999088298,93.89616999088298,93.89616999088298,0.875
10.983333333333333,94.08788384552079,94.08788384552079,94.08788384552079,0.875
11.0,94.27671094442034,94.27671094442034,94.27671094442034,0.875
11.016666666666666,94.4626400879666,94.4626400879666,94.4626400879666,0.875
11.033333333333333,94.64566025028978,94.64566025028978,94.64566025028978,0.875
11.05,94.82576057982452,94.82576057982452,94.82576057982452,0.875
11.066666666666666,95.00293039986101,95.00293039986101,95.00293039986101,0.875
11.083333333333334,95.17715920908711,95.17715920908711,95.17715920908711,0.875
11.1,95.34843668212187,95.34843668212187,95.34843668212187,0.875
11.116666666666667,95.51675267004023,95.51675267004023,95.51675267004023,0.875
11.133333333333333,95.68209720088899,95.68209720088899,95.68209720088899,0.875
11.15,95.84446048019394,95.84446048019394,95.84446048019394,0.875
11.166666666666666,96.00383289145815,96.00383289145815,96.00383289145815,0.875
11.183333333333334,96.16020499665129,96.16020499665129,96.16020499665129,0.875
11.2,96.31356753669004,96.31356753669004,96.31356753669004,0.875
11.216666666666667,96.46391143190971,96.46391143190971,96.46391143190971,0.875
11.233333333333333,96.61122778252647,96.61122778252647,96.61122778252647,0.875
11.25,96.75550786909103,96.75550786909103,96.75550786909103,0.875
11.266666666666666,96.89674315293286,96.89674315293286,96.89674315293286,0.875
11.283333333333333,97.03492527659554,97.03492527659554,97.03492527659554,0.875
11.3,97.17004606426295,97.17004606426295,97.17004606426295,0.875
11.316666666666666,97.30209752217618,97.30209752217618,97.30209752217618,0.875
11.333333333333334,97.43107183904148,97.43107183904148,97.43107183904148,0.875
11.35,97.55696138642878,97.55696138642878,97.55696138642878,0.875
11.366666666666667,97.67975871916116,97.67975871916116,97.67975871916116,0.875
11.383333333333333,97.79945657569485,97.79945657569485,97.79945657569485,0.875
11.4,97.91604787849025,97.91604787849025,97.91604787849025,0.875
11.416666666666666,98.02952573437311,98.02952573437311,98.02952573437311,0.875
11.433333333333334,98.13988343488714,98.13988343488714,98.13988343488714,0.875
11.45,98.24711445663635,98.24711445663635,98.24711445663635,0.875
11.466666666666667,98.35121246161887,98.35121246161887,98.35121246161887,0.875
11.483333333333333,98.45217129755062,98.45217129755062,98.45217129755062,0.875
11.5,98.5499849981801,98.5499849981801,98.5499849981801,0.875
11.516666666666666,98.6446477835934,98.6446477835934,98.6446477835934,0.875
11.533333333333333,98.73615406050983,98.73615406050983,98.73615406050983,0.875
11.55,98.82449842256814,98.82449842256814,98.82449842256814,0.875
11.566666666666666,98.90967565060299,98.90967565060299,98.90967565060299,0.875
11.583333333333334,98.9916807129122,98.9916807129122,98.9916807129122,0.875
11.6,99.07050876551412,99.07050876551412,99.07050876551412,0.875
11.616666666666667,99.14615515239575,99.14615515239575,99.14615515239575,0.875
11.633333333333333,99.21861540575094,99.21861540575094,99.21861540575094,0.875
11.65,99.28788524620931,99.28788524620931,99.28788524620931,0.875
11.666666666666666,99.35396058305528,99.35396058305528,99.35396058305528,0.875
11.683333333333334,99.41683751443765,99.41683751443765,99.41683751443765,0.875
11.7,99.4765123275694,99.4765123275694,99.4765123275694,0.875
11.716666666666667,99.53298149891793,99.53298149891793,99.53298149891793,0.875
